Poll Source,Date,"Democratic
Candidate",%,"Republican
Candidate",%,"Libertarian
Candidate",%,"Green
Candidate",%,"Sample
Size*",Margin of Error
CNN/Opinion Research Corporation,"September 28–30, 2012",Barack Obama,47%,Mitt Romney,43%,Gary Johnson,4%,Jill Stein,3%,783 LV,±3.5%
CNN/Opinion Research Corporation,"September 7–9, 2012",Barack Obama,51%,Mitt Romney,43%,Gary Johnson,3%,Jill Stein,1%,709 LV,±3.5%
